skills,interests,difficulty,project_title
"Web3, Blockchain, Cryptography, ReactJS",Cloud Computing,Medium,Mental Health Support Chatbot using AI
"Docker, Java","Internet of Things, Artificial Intelligence",Medium,Smart Agriculture Monitoring System IoT
"Django, MySQL","Blockchain Technology, Internet of Things",Easy,Energy Consumption Prediction using ML
"Blockchain, Game Development, Computer Vision, Big Data","Blockchain Technology, AR/VR Development",Hard,Blockchain-Powered Identity Management System
"Raspberry Pi, C","Data Science, Cyber Security",Medium,Intelligent Traffic Management System using IoT
"AWS, Cryptography, Big Data",Artificial Intelligence,Hard,Secure Voting System using Blockchain
"NLP, Arduino","Gaming and Game Development, Data Science",Medium,Data Visualization Dashboard for E-Commerce
"IoT, Data Analysis, Cryptography","Internet of Things, Blockchain Technology",Easy,Face Mask Detection System using Computer Vision
"PostgreSQL, Raspberry Pi, Network Security","Gaming and Game Development, Startups and Entrepreneurship",Medium,Data Visualization Dashboard for E-Commerce
"Python, C","Gaming and Game Development, AR/VR Development",Medium,Serverless Backend using AWS Lambda
"MySQL, Generative AI, Firebase, Java","Mobile App Development, Data Science",Easy,Mental Health Support Chatbot using AI
"AWS, MongoDB, Game Development, Arduino","Internet of Things, Blockchain Technology",Medium,Generative AI Content Writer
"ReactJS, GCP","Gaming and Game Development, Cyber Security",Hard,Secure File Storage System with Cryptography
"Flutter, NLP",AR/VR Development,Medium,Secure Voting System using Blockchain
"Deep Learning, AWS",AR/VR Development,Medium,Virtual Classroom App with Attendance System
"AR/VR, C++, Cryptography","AR/VR Development, Internet of Things",Easy,Decentralized Blogging Platform with Web3
"Firebase, Blockchain",Web Development,Medium,Full Stack E-Commerce Website
"PyTorch, Java","Gaming and Game Development, Startups and Entrepreneurship",Medium,Gamified Habit Tracker Mobile App
"Data Visualization, AWS, IoT",Startups and Entrepreneurship,Easy,Remote Patient Monitoring System IoT
"Docker, Deep Learning",Automation,Easy,Crime Rate Prediction App with ML
"NodeJS, Ethical Hacking, Azure",Cloud Computing,Medium,Smart Waste Management System IoT
"C, Generative AI",Cyber Security,Hard,Secure Voting System using Blockchain
"Network Security, Computer Vision, IoT",Blockchain Technology,Hard,Blockchain-Powered Identity Management System
"Kubernetes, TensorFlow","Artificial Intelligence, Blockchain Technology",Medium,Food Delivery App Clone with Flutter & Firebase
"Firebase, Data Analysis, LLMs",Artificial Intelligence,Easy,Generative AI Content Writer
"Django, PostgreSQL, Machine Learning, Arduino",Startups and Entrepreneurship,Medium,Virtual Classroom App with Attendance System
"Data Visualization, Django, Game Development, Ethical Hacking",Startups and Entrepreneurship,Hard,Music Recommendation System with Deep Learning
"MongoDB, Java, C++","Gaming and Game Development, Startups and Entrepreneurship",Medium,Air Quality Monitoring IoT System
"MongoDB, C++, Solidity, Flutter","Web Development, AR/VR Development",Easy,COVID-19 Data Analytics Dashboard
"TensorFlow, Raspberry Pi, Machine Learning",Web Development,Hard,Hyperledger Based Supply Chain Management
"Machine Learning, TensorFlow, C++",Automation,Hard,Face Mask Detection System using Computer Vision
"AR/VR, Web3, Blockchain",Internet of Things,Easy,Data Visualization Dashboard for E-Commerce
"Embedded Systems, Ethical Hacking",Startups and Entrepreneurship,Easy,News Aggregator App with Web Scraping
"Django, Azure, Arduino, Machine Learning","Cloud Computing, Cyber Security",Hard,Build a RESTful API with Django
"MySQL, NodeJS, Computer Vision",AR/VR Development,Medium,Blockchain-based Certificate Issuing System
"Network Security, IoT",Data Science,Medium,AI Chatbot for Healthcare Assistance
"Big Data, Blockchain, Django, Machine Learning","AR/VR Development, Data Science",Medium,Augmented Reality Try-On Glasses App
"TensorFlow, MongoDB, ReactJS",AR/VR Development,Easy,Data Visualization Dashboard for E-Commerce
"NLP, Generative AI, AR/VR, C++",Blockchain Technology,Medium,Deploy ML Model on AWS with Docker
"Machine Learning, Flutter, Java, Docker",Data Science,Hard,Data Visualization Dashboard for E-Commerce
"C++, Java, Cryptography",Blockchain Technology,Hard,Intelligent Traffic Management System using IoT
"Azure, Solidity, Firebase",Blockchain Technology,Medium,Virtual Reality Racing Game
"Azure, Django, MongoDB, NLP","AR/VR Development, Cloud Computing",Medium,Automated Cloud Resource Optimization AI
"TensorFlow, Generative AI, Docker, Solidity",Gaming and Game Development,Easy,Personal Finance Manager App
"Deep Learning, Data Visualization, IoT","Internet of Things, AR/VR Development",Hard,AI-Powered Coding Interview Preparation Platform
"Web3, Flutter","Data Science, Automation",Medium,NFT Marketplace Development
"MySQL, Data Analysis, Machine Learning","Artificial Intelligence, Mobile App Development",Hard,News Aggregator App with Web Scraping
"MongoDB, Kubernetes, Cryptography","Cloud Computing, Internet of Things",Medium,Face Mask Detection System using Computer Vision
"IoT, PostgreSQL",Data Science,Medium,Voice Controlled IoT Home Automation
"TensorFlow, Solidity, ReactJS, LLMs",Artificial Intelligence,Easy,AI-based Personal Health Recommendation App
"Blockchain, Firebase",Automation,Hard,Secure File Storage System with Cryptography
"Arduino, Docker, Blockchain",AR/VR Development,Easy,Fitness Tracker Mobile App
"Kubernetes, Cryptography","Cyber Security, Gaming and Game Development",Easy,Secure File Storage System with Cryptography
"Network Security, AWS, LLMs, Big Data","Automation, Cyber Security",Easy,AI-based Personal Health Recommendation App
"Azure, C","Internet of Things, Cyber Security",Hard,Mental Health Support Chatbot using AI
"NLP, PyTorch, AR/VR, NodeJS",Mobile App Development,Easy,Decentralized Blogging Platform with Web3
"Django, Computer Vision",AR/VR Development,Hard,Augmented Reality Try-On Glasses App
"Embedded Systems, AWS","Web Development, Blockchain Technology",Hard,Blockchain-based Certificate Issuing System
"Generative AI, GCP, Java, Django","Internet of Things, Blockchain Technology",Medium,Data Visualization Dashboard for E-Commerce
"TensorFlow, Kubernetes",Automation,Medium,Crime Rate Prediction App with ML
"Deep Learning, TensorFlow","AR/VR Development, Automation",Medium,Hyperledger Based Supply Chain Management
"Generative AI, C++, Flutter","Blockchain Technology, Startups and Entrepreneurship",Easy,AI Chatbot for Healthcare Assistance
"GCP, TensorFlow, Django","Mobile App Development, Cloud Computing",Hard,Gamified Habit Tracker Mobile App
"Machine Learning, Data Analysis, Big Data, GCP","Gaming and Game Development, Automation",Hard,Energy Consumption Prediction using ML
"Flutter, Data Visualization","Data Science, Automation",Easy,Automated Cloud Resource Optimization AI
"Blockchain, PostgreSQL, Data Visualization, AWS",Artificial Intelligence,Medium,Language Learning App using Gamification
"LLMs, Azure, NodeJS",Blockchain Technology,Medium,Mental Health Support Chatbot using AI
"Cryptography, Django, Python, Machine Learning","Cyber Security, Artificial Intelligence",Medium,Real-Time Chat Translation App using NLP
"PostgreSQL, Arduino, Firebase",Mobile App Development,Hard,Hyperledger Based Supply Chain Management
"Python, C","Startups and Entrepreneurship, Web Development",Easy,Smart Waste Management System IoT
"Firebase, Azure, AR/VR",Internet of Things,Hard,AI-Powered Coding Interview Preparation Platform
"Cryptography, TensorFlow, Data Analysis, Data Visualization",Data Science,Easy,Language Learning App using Gamification
"Python, Data Analysis, Django, Machine Learning","Internet of Things, Automation",Easy,Smart Waste Management System IoT
"Embedded Systems, Kubernetes, MongoDB","Cloud Computing, Web Development",Medium,Food Delivery App Clone with Flutter & Firebase
"Firebase, AWS, PyTorch, IoT",Internet of Things,Medium,Data Visualization Dashboard for E-Commerce
"Ethical Hacking, Game Development, AR/VR, NLP",Mobile App Development,Easy,Intelligent Traffic Management System using IoT
"NLP, C++, ReactJS, MongoDB",Internet of Things,Hard,Remote Patient Monitoring System IoT
